"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "CSS", "XML", "comment", "blank", "total"
"d:\Demoes\react-cloud-music\src\baseUI\search-box\index.js", "JavaScript", 0, 0, 72, 0, 0, 0, 2, 12, 86
"d:\Demoes\react-cloud-music\src\baseUI\toast\index.js", "JavaScript", 0, 0, 53, 0, 0, 0, 1, 5, 59
"d:\Demoes\react-cloud-music\src\components\list\index.js", "JavaScript", 0, 0, 41, 0, 0, 0, 1, 5, 47
"d:\Demoes\react-cloud-music\src\components\list\style.js", "JavaScript", 0, 0, 68, 0, 0, 0, 1, 3, 72
"d:\Demoes\react-cloud-music\src\components\slider\index.js", "JavaScript", 0, 0, 44, 0, 0, 0, 2, 2, 48
"d:\Demoes\react-cloud-music\src\components\slider\style.js", "JavaScript", 0, 0, 28, 0, 0, 0, 2, 2, 32
"d:\Demoes\react-cloud-music\src\index.js", "JavaScript", 0, 0, 6, 0, 0, 0, 3, 3, 12
"d:\Demoes\react-cloud-music\src\routes\index.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 2, 69
"d:\Demoes\react-cloud-music\src\serviceWorker.js", "JavaScript", 0, 0, 92, 0, 0, 0, 31, 13, 136
"d:\Demoes\react-cloud-music\src\store\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 2, 10
"d:\Demoes\react-cloud-music\src\store\reducer.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 2, 19
"d:\Demoes\react-cloud-music\src\style.js", "JavaScript", 0, 0, 52, 0, 0, 0, 2, 2, 56
"d:\Demoes\react-cloud-music\vercel.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 3
"Total", "-", 38, 31823, 5062, 896, 558, 55, 273, 836, 39541
